,Tweets,CleanTweets,Polarity,Subjectivity,Segmentation
10,"Classic Wedderburn even got bored listening when @skysports_sheth @SkyKaveh @MelissaReddy_ kept switching back to Utd…
You three need to stop blubbering about Utd as no one cares what Ronaldo or Man U desperately do…",Classic Wedderburn even got bored listening _sheth _ kept switching back Utd… You three need stop blubbering Utd one cares Ronaldo Man U desperately do…,-0.23333333333333334,0.5416666666666667,negative
11,"Ronaldo à la juventus c'était un prime incroyablement sous côté 

#ronaldo #napoli https://t.co/44uOYX79L6",Ronaldo à la juventus c'était un prime incroyablement sous côté ://t.co/44uOYX79L6,0.0,0.0,neutral
12,@Ghana_Ronaldo @iamterdoo @wildweird_x,_Ronaldo _x,0.0,0.0,neutral
13,@LivingS34637671 @uday462 @ronaldo_mb_dhf Andaru ala vuntaru anukokudadu kadha bro caste enti Ani teliyakuda ala petadam wrong kadha,_mb_dhf Andaru ala vuntaru anukokudadu kadha bro caste enti Ani teliyakuda ala petadam wrong kadha,-0.5,0.9,negative
14,"@Mugarandega4 @attizaattiza @WVhimisai @Svosvai1 @nelsonchamisa @JobSikhala1 That’s the aim of shake-shake house, to them CCC is a menace. How can they cripple it?, it’s easy. Who is Ronaldo and Lionel Messi of CCC, take away NC &amp; Biti and Sikhala is already in,CCC will become dysfunctional. They will then call for early elections beginning of 2023.","That’s aim shake-shake house, CCC menace. How cripple it?, it’s easy. Who Ronaldo Lionel Messi CCC, take away NC &amp; Biti Sikhala already in,CCC become dysfunctional. They call early elections beginning 2023.",0.26666666666666666,0.5666666666666667,positive
15,@bloxflip @KSI @Deji @Cristiano User is Glizzvy,User Glizzvy,0.0,0.0,neutral
16,"@MatteoSorrenti Mi dispiace …. Sono un irriducibile, per me il pappone potrebbe comprare pure Ronaldo, Messi il pappone per me se ne deve andare … tanto vince sempre e solo lui … ricordatelo","Mi dispiace …. Sono un irriducibile, per il pappone potrebbe comprare pure Ronaldo, Messi il pappone per se ne deve andare … tanto vince sempre e solo lui … ricordatelo",0.21428571428571427,0.5,positive
17,"@PetersMufc @Utd_Olly15 He was sold to pay for Ronaldo and the team was worse in every conceivable metric after he was sold, but OK.","_Olly15 He sold pay Ronaldo team worse every conceivable metric sold, OK.",0.06666666666666665,0.4666666666666666,positive
18,"@ChiefInCouncil I agree. In football terms, Ronaldo enter Man Utd some of hin football mates and fans start to dey see ham finish. 
End.","I agree. In football terms, Ronaldo enter Man Utd hin football mates fans start dey see ham finish. End.",0.0,0.0,neutral
19,@DeadlineDayLive Says Maguire and Shaw as they sitting on bench next to Ronaldo😂,Says Maguire Shaw sitting bench next Ronaldo😂,0.0,0.0,neutral
20,@rez_berk @KR49Delta @ranny_ft @Cristiano Hilarious right? 😂. Surrounded by all that talent right? 😂😂😂😂😂😂,_berk _ft Hilarious right? 😂. Surrounded talent right? 😂😂😂😂😂😂,0.35714285714285715,0.6904761904761904,positive
21,@Ghana_Ronaldo @GatesZibit IFB,_Ronaldo IFB,0.0,0.0,neutral
22,"Gaza gelip kendini gerçekten Ronaldo görmeye başlamış olmalı, İddia doğruysa… https://t.co/jGRdNLFfet","Gaza gelip kendini gerçekten Ronaldo görmeye başlamış olmalı, İddia doğruysa… https://t.co/jGRdNLFfet",0.0,0.0,neutral
23,"@silver_mistt @absthegoalie @Cristiano @ManUtd Shut up🥴
He was a player who scored 50+ goals for fun
Now he's scoring nearly 30 which is exceptional for a 37 year old
If he aged like a wine it would have been 50+ again",_mistt Shut up🥴 He player scored 50+ goals fun Now he's scoring nearly 30 exceptional 37 year old If aged like wine would 50+,0.24166666666666667,0.44999999999999996,positive
24,preferer des DC à Ronaldo... il est passé où ton football romantique Thomas..,preferer des DC à Ronaldo... il est passé où ton football romantique Thomas..,0.0,0.0,neutral
25,"Hahahahahahaha😂😂 Is this true @Ateebrafiq is he really pain in the ass for your club, put your love for ronaldo aside and nostalgia?? https://t.co/H4vK4nSGZT","Hahahahahahaha😂😂 Is true really pain ass club, put love ronaldo aside nostalgia?? https://t.co/H4vK4nSGZT",0.35000000000000003,0.4833333333333334,positive
26,If Chelsea don’t get Auba then I say screw it and just get Ronaldo. A top finisher which we need,If Chelsea don’t get Auba I say screw get Ronaldo. A top finisher need,0.5,0.5,positive
27,"🚨 Cristiano Ronaldo à Naples n'est qu'une question de temps 
(@mackolik) https://t.co/DMP7yiGkwn",🚨 Cristiano Ronaldo à Naples n'est qu'une question de temps () https://t.co/DMP7yiGkwn,0.0,0.0,neutral
28,"@Ronaldo_RCM @pedrocertezas ""se igualou ao lula"" kkkkkkkkkkkkk
realidade: vai apertar 22 na surdina e qualquer coisa vai falar que votou no NOVO","_RCM ""se igualou ao lula"" kkkkkkkkkkkkk realidade: vai apertar 22 na surdina e qualquer coisa vai falar que votou NOVO",0.0,0.0,neutral
29,Ronaldo il est au courant que le mercato finit demain?,Ronaldo il est au courant que le mercato finit demain?,0.0,0.0,neutral
30,@lobo_carrasco @elchiringuitotv y la chilena mas perfecta del mundo de un tal Cristiano Ronaldo ???,_carrasco la chilena mas perfecta del mundo de un tal Cristiano Ronaldo ???,0.0,0.0,neutral
31,@gambabit @Cristiano,,0.0,0.0,neutral
32,@Naija_PR G.O.A.T @Cristiano,_PR G.O.A.T,0.0,0.0,neutral
33,Voy a pegar una siesta de 30 minutos como Cristiano Ronaldo dijo el Santi,Voy pegar una siesta de 30 minutos como Cristiano Ronaldo dijo el Santi,0.0,0.0,neutral
34,@JeremieMata4 Et Ronaldo uel,Et Ronaldo uel,0.0,0.0,neutral
35,He encontrado un cuaderno q utilizaba de pequeño y se ve q odiaba a Cristiano Ronaldo https://t.co/WDdi0ghrUt,He encontrado un cuaderno q utilizaba de pequeño se q odiaba Cristiano Ronaldo https://t.co/WDdi0ghrUt,0.0,0.0,neutral
36,La figurita de Messi o Ronaldo para completar el reto de la app y te agrego al círculo verde(?,La figurita de Messi Ronaldo para completar el reto de la app te agrego al círculo verde(?,0.0,0.0,neutral
37,@NQ10__ Voilà et un peu ronaldo il mérite plus,__ Voilà et un peu ronaldo il mérite plus,0.0,0.0,neutral
38,"@ishowspeedsui fight me. We are both the same age, and same weight. Ksi is having a card in January. Fight me in that you nonce. Don’t duck me. #Messi𓃵 #Ronaldo","fight me. We age, weight. Ksi card January. Fight nonce. Don’t duck me. 𓃵",0.0,0.0,neutral
39,Messi &amp; Ronaldo 81 pace in fifa 23 💀,Messi &amp; Ronaldo 81 pace fifa 23 💀,0.0,0.0,neutral
40,E eu que uso o Cristiano Ronaldo como chat para guardar reals interessantes,E eu que uso Cristiano Ronaldo como chat para guardar reals interessantes,0.0,0.0,neutral
41,@FBahcelilerr Ali koçu sampiyonluk harici Ronaldo kurtarir,Ali koçu sampiyonluk harici Ronaldo kurtarir,0.0,0.0,neutral
42,As if it’s Boehly you fool. Boehly doesn’t even know the difference between centre back and centre forward. Tuchel wants all these defenders. Tuchel turned his nose up at Ronaldo. Not Boehly. https://t.co/SbPkVWXOj9,As it’s Boehly fool. Boehly doesn’t even know difference centre back centre forward. Tuchel wants defenders. Tuchel turned nose Ronaldo. Not Boehly. https://t.co/SbPkVWXOj9,0.1,0.05,positive
43,@nocontextfooty Context: Nunez&gt; Ronaldo,Context: Nunez&gt; Ronaldo,0.0,0.0,neutral
44,mais moi j’avais une pièce dans la bouche de ( 20 centimes) me demandez pas pourquoi je sais même plus pourquoi j’en avais une bref et il passe le reportage de Ronaldo un moment il fait une retournée acrobatique https://t.co/GHT2btKs0Q,mais moi j’avais une pièce dans la bouche de ( 20 centimes) demandez pas pourquoi je sais même plus pourquoi j’en avais une bref et il passe le reportage de Ronaldo un moment il fait une retournée acrobatique https://t.co/GHT2btKs0Q,0.0,0.0,neutral
45,"@divyans_goat @CJP080901 @ManUnitedZone_ Key passes, vision assists etc. the point is Messi and Ronaldo had very different roles last season though neither were at their best.","_goat _ Key passes, vision assists etc. point Messi Ronaldo different roles last season though neither best.",0.25,0.4916666666666667,positive
46,@DerSaltato Chi crede in Ronaldo al Napoli e crede che sia meglio di un centravanti di 20 anni che già vale 140 milioni infatti sarà nella top 100 su FUT Italia,Chi crede Ronaldo al Napoli e crede che sia meglio di un centravanti di 20 anni che già vale 140 milioni infatti sarà nella top 100 su FUT Italia,0.5,0.5,positive
47,"@ronaldo_mb_dhf Kitti gadu.... 
Laughing  from  Corner https://t.co/OMemOF8Xsb",_mb_dhf Kitti gadu.... Laughing Corner https://t.co/OMemOF8Xsb,0.0,0.0,neutral
48,@The0tim3_ @Cristiano ou Moise Kean,_ ou Moise Kean,0.0,0.0,neutral
49,"Will Cristiano Ronaldo leave Manchester United before the transfer window shuts? 🤔🔴 https://t.co/i6ideS4br8
@SkySportsPL",Will Cristiano Ronaldo leave Manchester United transfer window shuts? 🤔🔴 https://t.co/i6ideS4br8,0.0,0.0,neutral
50,"@Coketamina Es que antes 100M costaba Cristiano Ronaldo, Neymar y poco más. Ahora cualquiera eh","Es que antes 100M costaba Cristiano Ronaldo, Neymar poco más. Ahora cualquiera eh",0.0,0.0,neutral
51,"@CRonaldoV2 @10HagRED @TrollFootball Man united fan and a Ronaldo c*cksucker, that's 2 big L's","Man united fan Ronaldo c*cksucker, that's 2 big L's",0.0,0.1,neutral
52,me salieron 2 messi y no me salio Ronaldo que putas,salieron 2 messi salio Ronaldo que putas,0.0,0.0,neutral
53,"@NUFC anybody thought about Ronaldo on a loan, he’d be a great asset","anybody thought Ronaldo loan, he’d great asset",0.8,0.75,positive
54,"@Ronaldo08943705 Boa Tarde Ronaldo 🥳🥳

Ótima Terça-feira 🙏🙏

SRN 🔴⚫😎👊",Boa Tarde Ronaldo 🥳🥳 Ótima Terça-feira 🙏🙏 SRN 🔴⚫😎👊,0.0,0.0,neutral
55,Just sell him or terminate Ronaldo at this rate https://t.co/7LYLAu8jTy,Just sell terminate Ronaldo rate https://t.co/7LYLAu8jTy,0.0,0.0,neutral
56,@FrankKhalidUK @paulpogba @Cristiano The narrative that Ronaldo is the problem is mind boggling,The narrative Ronaldo problem mind boggling,0.0,0.0,neutral
57,"@_Pumza_ That guy is stubborn 😂

He literally has a goal machine in Ronaldo but does not know how to utilize him into the squad 🤦🏾‍♂️🚮",@_Pumza_ That guy stubborn 😂 He literally goal machine Ronaldo know utilize squad 🤦🏾‍♂️🚮,0.0,0.0,neutral
58,@Arrizabalager Exactly why we need ronaldo and zaha,Exactly need ronaldo zaha,0.25,0.25,positive
59,@Randaz1Emmanuel @Ale_RMFC @Cristiano X2,_RMFC X2,0.0,0.0,neutral
60,"@neobronzati Ele foi decisivo em duas Copas, mas os caras acima jogaram demais também. Jairzinho, Zizinho, Didi, Romário, Ronaldo, Leônidas.","Ele foi decisivo em duas Copas, mas os caras acima jogaram demais também. Jairzinho, Zizinho, Didi, Romário, Ronaldo, Leônidas.",0.0,0.0,neutral
61,@NoNowlegoat @LAW_QLF @Fumzerleretour @wahraniii6 @AchilleBekono @saile_jedusor @_Cristiano9_3 Le match contre Tottenham? les nombreuses fois où il a évité la défaite à Man U tu ne devrais même pas comparer le réal avec Man U arrête avec ta mauvaise foi si tu as réellement regarder les matchs tu saurai que Ronaldo n’y pouvait rien,_QLF _jedusor @_Cristiano9_3 Le match contre Tottenham? les nombreuses fois où il évité la défaite à Man U tu ne devrais même pas comparer le réal avec Man U arrête avec ta mauvaise foi si tu réellement regarder les matchs tu saurai que Ronaldo n’y pouvait rien,0.0,0.0,neutral
62,@FutSheriff @EASPORTSFIFA Ronaldo pace to 60,Ronaldo pace 60,0.0,0.0,neutral
63,@FabrizioRomano @Transferzone00 Ronaldo ?,Ronaldo ?,0.0,0.0,neutral
64,@ChampionsLeague @bayer04_en @Calteck10 Ronaldo is finished,_en Ronaldo finished,0.0,0.0,neutral
65,"En vrai j’ai capté Pogba il a marabouter Ronaldo pour éteindre sa carrière, je ne vois pas quel autre option #ronaldo #pogba","En vrai j’ai capté Pogba il marabouter Ronaldo pour éteindre sa carrière, je ne vois pas quel autre option",0.0,0.0,neutral
66,"@As_saaliha @redamcx1 @redamcx1 Tu viens de liker ceci, puis-je donc te poser une simple question en raisonnant de cette façon, Messi &gt; Ronaldo ?","_saaliha Tu viens de liker ceci, puis-je donc te poser une simple question en raisonnant de cette façon, Messi &gt; Ronaldo ?",0.0,0.35714285714285715,neutral
67,@trustyfuttrader Ronaldo same pace as van dijk?,Ronaldo pace van dijk?,0.0,0.0,neutral
68,@UTDgudu @Tomas9716 @Didntknowplayer @FunnyFTMoments Ronaldo ain't trying to play for ur team dude,Ronaldo ain't trying play ur team dude,0.0,0.0,neutral
69,@Ale_RMFC @Cristiano NO al Napoli,_RMFC NO al Napoli,0.0,0.0,neutral
70,@MrhandsomeSA @Ghana_Ronaldo,_Ronaldo,0.0,0.0,neutral
71,"@ismailh55329200 @mrmichaelbarton Ronaldo leaving is not d problem
but who will replace him 
Martial or Rashford
That will be Ten big mistake",Ronaldo leaving problem replace Martial Rashford That Ten big mistake,0.0,0.03333333333333333,neutral
72,Yalancının anasını sikiyim mi Ronaldo sadece soruyorum? https://t.co/cV0kJ3IPbg,Yalancının anasını sikiyim mi Ronaldo sadece soruyorum? https://t.co/cV0kJ3IPbg,0.0,0.0,neutral
73,@Eruma_27 @F4STFATI @ReshadRahman_ @HelenaCondis Insane mid off but Ronaldo better tbh,_27 _ Insane mid Ronaldo better tbh,-0.16666666666666666,0.5,negative
74,"#NP 📡 Holy Gee - 
@superboycheque

#TheHomerun w. Radio Ronaldo @SheyeBanks 👑📻

https://t.co/qv712uwP68 #RadioStars",📡 Holy Gee - . Radio Ronaldo 👑📻 https://t.co/qv712uwP68,0.0,0.0,neutral
75,"La trattativa per #ronaldo non è ancora tramontata del tutto,quella per #navas rimane in fase di stallo.","La trattativa per è ancora tramontata del tutto,quella per .",0.0,0.0,neutral
76,@Ghana_Ronaldo @MelaninShugar 😉,_Ronaldo 😉,0.0,0.0,neutral
77,@ayo_olah Let wait and see. Likely RB then striker if Ronaldo leave,_olah Let wait see. Likely RB striker Ronaldo leave,0.0,1.0,neutral
78,@E170K @interna47997306 @Eruma_27 @DeadlineDayLive Has 4 goals 2 assists this season already while Ronaldo got 0 goals and assists,_27 Has 4 goals 2 assists season already Ronaldo got 0 goals assists,0.0,0.0,neutral
79,@honestpendudog2 @MoneyMa43469183 @pessiOUT @bazu191 @SensationalNey @sr4gio_ramos Messi fans think that ronaldo is just a tapin merchant,_ramos Messi fans think ronaldo tapin merchant,0.0,0.0,neutral
80,@ArmyArmyYeah1 Clarooooo! Mejor pop del año! Cristiano Ronaldo … ah qué tal?,Clarooooo! Mejor pop del año! Cristiano Ronaldo … ah qué tal?,0.0,0.0,neutral
81,"@ronaldo_mb_dhfm @Rebelismm @Prabhas_Anwar1 https://t.co/gt9UyvYk4X
@ronaldo_mb_dhf",_mb_dhfm _Anwar1 https://t.co/gt9UyvYk4X _mb_dhf,0.0,0.0,neutral
82,Juju is our Ronaldo of politics never disappoint us the voters of EFF 🤣🤣✊ president big nose https://t.co/vW0vNa7LgZ,Juju Ronaldo politics never disappoint us voters EFF 🤣🤣✊ president big nose https://t.co/vW0vNa7LgZ,0.0,0.1,neutral
83,@Ghana_Ronaldo @_Stevemensa 👀,_Ronaldo @_Stevemensa 👀,0.0,0.0,neutral
84,"Pare sfumata la trattativa per portare Cristiano #Ronaldo al #Napoli.
#CR7𓃵 vuole comunque lasciare il #ManchesterUnited, sul tavolo l'opzione #Sporting Lisbona. Ma l'allenatore dei portoghesi, secondo il Times, sarebbe pronto a dimettersi in caso di arrivo di #CristianoRonaldo. https://t.co/toTMTVtWZW","Pare sfumata la trattativa per portare Cristiano . 𓃵 vuole comunque lasciare il , sul tavolo l'opzione . Ma l'allenatore dei portoghesi, secondo il Times, sarebbe pronto dimettersi caso di arrivo di . https://t.co/toTMTVtWZW",0.0,0.0,neutral
85,@privkrls @FabrizioRomano Man stop looking at Ronaldo’s girl all day and watch some ball,Man stop looking Ronaldo’s girl day watch ball,0.0,0.0,neutral
86,@seokjinah070 Justice for Ronaldo 😩,Justice Ronaldo 😩,0.0,0.0,neutral
87,@Ghana_Ronaldo @chiangellia,_Ronaldo,0.0,0.0,neutral
88,@FrankKhalidUK @biggest_don1 @paulpogba @Cristiano Most deff,_don1 Most deff,0.5,0.5,positive
89,@CFCPys @Nathan_Gissing Ronaldo is bigger than chelsea,_Gissing Ronaldo bigger chelsea,0.0,0.5,neutral
90,"@honestpendudog2 @MoneyMa43469183 @pessiOUT @bazu191 @SensationalNey @sr4gio_ramos Ronaldo has played 936 games on club level and xavi has played 882, not that big of a difference. Again i am not saying that ronaldo is a better playmaker, i was just showing how he has created more chances than one of the greateat midfielder of all time and still most of the...","_ramos Ronaldo played 936 games club level xavi played 882, big difference. Again saying ronaldo better playmaker, showing created chances one greateat midfielder time still the...",0.25,0.3,positive
91,"@Utd_Kieran @GozoM__ @TenHagEra Next season priority :
1. Ball playing &amp; sweeper Gk
2. Ronaldo's replacement (goalscorer)
3. Cm who can controls the tempo
4. New Rb to compete with dalot
And we're good to go for the next 5 years",_Kieran __ Next season priority : 1. Ball playing &amp; sweeper Gk 2. Ronaldo's replacement (goalscorer) 3. Cm controls tempo 4. New Rb compete dalot And we're good go next 5 years,0.20909090909090908,0.26363636363636367,positive
92,@rosianaivy @Ghana_Ronaldo Love y’all,_Ronaldo Love y’all,0.5,0.6,positive
93,"RAI - Venerato: ""Navas, non c'è l'accordo con il PSG, Osimhen resta, sfumato Ronaldo"" https://t.co/voz5SBPXZu","RAI - Venerato: ""Navas, non c'è l'accordo con il PSG, Osimhen resta, sfumato Ronaldo"" https://t.co/voz5SBPXZu",0.0,0.0,neutral
94,"RAI - Venerato: ""Navas, non c'è l'accordo con il PSG, Osimhen resta, sfumato Ronaldo"" https://t.co/EOnvsIEOn1","RAI - Venerato: ""Navas, non c'è l'accordo con il PSG, Osimhen resta, sfumato Ronaldo"" https://t.co/EOnvsIEOn1",0.0,0.0,neutral
95,"@7olympos @demarkegaming @demarkesports Hayır Ronaldo 88 Messi 84 olmalı en fazla. Ikisi arasında uçurum var şu an. 
Messi'nin oynadığı ligde bende oynarım. Ronaldo dünyanın en iyi liginde oynuyor. Fark var.",Hayır Ronaldo 88 Messi 84 olmalı en fazla. Ikisi arasında uçurum var şu an. Messi'nin oynadığı ligde bende oynarım. Ronaldo dünyanın en iyi liginde oynuyor. Fark var.,0.0,0.0,neutral
96,"@Aydiin6814 @Blue_Footy Ronaldo was, is now, and always will be a better player than auba","_Footy Ronaldo was, now, always better player auba",0.5,0.5,positive
97,"@CRonaldoV2 @TrollFootball Ronaldo can't even dribble against Andorra, lmao","Ronaldo can't even dribble Andorra, lmao",0.6,1.0,positive
98,@90laurenquigley Ronaldo should leave.. Casemiro and Antony already has me more excited....,Ronaldo leave.. Casemiro Antony already excited....,0.375,0.75,positive
99,@lordmili101_ @Ghana_Ronaldo Followed you,_ _Ronaldo Followed,0.0,0.0,neutral
100,"@zeuzeu11 @LouisBaltimore regarde le record de vitesse de tous les temps d""un footballer c'est ronaldo bg","regarde le record de vitesse de tous les temps d""un footballer c'est ronaldo bg",0.0,0.0,neutral
101,@lauriewhitwell Can I assume based on this that there is no truth at all to the Oshimen/Ronaldo loan swap? Or any variations on this?,Can I assume based truth Oshimen/Ronaldo loan swap? Or variations this?,0.0,0.0,neutral
102,@Ghana_Ronaldo @lodbrok_floki @OrmenZa  done.,_Ronaldo _floki done.,0.0,0.0,neutral
103,@SkySportsNews Thought it was Ronaldo for a minute 😂😂😂😂,Thought Ronaldo minute 😂😂😂😂,0.0,0.0,neutral
104,@realmadriden One last dance with @Cristiano 🙌🏻🙌🏻,One last dance 🙌🏻🙌🏻,0.0,0.06666666666666667,neutral
105,@kuwaitjnr_ @wizkidayo @TeamMessi Correct guy ❣️ others go dey merge wizzy and Ronaldo together 🤮,_ Correct guy ❣️ others go dey merge wizzy Ronaldo together 🤮,0.0,0.0,neutral
106,@Tee_Classiquem1 @ChelseaFC @jahy_official you and this lady suppose be friends…I think say na only you hate Chelsea ..this lady fvcking from the pit of hell dislike Chelsea 😂😂😂😂😂😂😂😂😂koda make Chelsea buy mess Ronaldo lewandoski koda ko kan 😂😂😂😂 oya WEREY gan when it comes to Chelsea,_Classiquem1 _official lady suppose friends…I think say na hate Chelsea ..this lady fvcking pit hell dislike Chelsea 😂😂😂😂😂😂😂😂😂koda make Chelsea buy mess Ronaldo lewandoski koda ko kan 😂😂😂😂 oya WEREY gan comes Chelsea,-0.48750000000000004,0.5375,negative
107,"@realvarriale Hai ragione, figurati se Ronaldo può ridursi a questi livelli","Hai ragione, figurati se Ronaldo può ridursi questi livelli",0.0,0.0,neutral
108,Ronaldo must stay bro https://t.co/KkzPIRFE9Y,Ronaldo must stay bro https://t.co/KkzPIRFE9Y,0.0,0.0,neutral
109,@ElliotLane11 @_joshuahemmings @Official_BRFC Cavani wore 7 the same season Ronaldo did,@_joshuahemmings _BRFC Cavani wore 7 season Ronaldo,0.0,0.0,neutral
110,@FrankKhalidUK @paulpogba @Cristiano https://t.co/jr3uCGimNX,https://t.co/jr3uCGimNX,0.0,0.0,neutral
111,@Serpico_Utd @piersmorgan his idol is literally Ronaldo,_Utd idol literally Ronaldo,0.0,0.0,neutral
112,@TinerciLupinn Ronaldo 80 bile etmez,Ronaldo 80 bile etmez,0.0,0.0,neutral
113,"@MRed78 Can’t argue with this guy being a fraud.

But do you honestly believe Ronaldo came in and made these players perform to a lower level? These players did that all on there own, Ronaldo didn’t make them do anything. 

Are we ever going to hold these players accountable?","Can’t argue guy fraud. But honestly believe Ronaldo came made players perform lower level? These players own, Ronaldo didn’t make anything. Are ever going hold players accountable?",0.6,0.95,positive
114,@Ghana_Ronaldo @Abenapearl_ @Adaekwulobiaa,_Ronaldo _,0.0,0.0,neutral
115,@TinerciLupinn manuda sadece ronaldo var amkkkkkkkkkk gerisi o evladı,manuda sadece ronaldo var amkkkkkkkkkk gerisi evladı,0.0,0.0,neutral
116,@Lorena_Alves69 Humberto e Ronaldo sô,_Alves69 Humberto e Ronaldo sô,0.0,0.0,neutral
117,"@YesterdaysStars He was fantastic. I loved watching him with McClair or Cantona. I'd put him in my top 3 or 4 for United in the past 40 years. Way ahead of Rooney or Ronaldo. I know most wouldn't but there you go. Robson, too.","He fantastic. I loved watching McClair Cantona. I'd put top 3 4 United past 40 years. Way ahead Rooney Ronaldo. I know go. Robson, too.",0.3375,0.6125,positive
118,@kwapKing_eddy @CBSSportsGolazo @JacobsBen Ronaldo ain't goin nowhere 😂 📍,_eddy Ronaldo ain't goin nowhere 😂 📍,0.0,0.0,neutral
119,@ronaldo_mb_dhf Continuous batting,_mb_dhf Continuous batting,0.0,0.0,neutral
120,@Ronaldo_aff Sério? É algo tão esquecido que eu nem lembrava que ele usou tantas vezes.,_aff Sério? É algo tão esquecido que eu nem lembrava que ele usou tantas vezes.,0.0,0.0,neutral
121,"@ManUtd @DalotDiogo Now, Its time to bring back the lost glory of Old Trafford.We have better coach, better team and Ronaldo
I would ll suggest to play Ronaldo as a main striker in every game With a kind of RW and LW combination of Sancho and Antony,And Bruno in Centre,team will get fruitful result https://t.co/mT3claYoFC","Now, Its time bring back lost glory Old Trafford.We better coach, better team Ronaldo I would suggest play Ronaldo main striker every game With kind RW LW combination Sancho Antony,And Bruno Centre,team get fruitful result https://t.co/mT3claYoFC",0.20952380952380953,0.4047619047619047,positive
122,"13 años del día en que Cristiano Ronaldo, Karim Benzema y Ricardo Kaka debutaron con el Real Madrid.

EL COMIENZO DE LA NUEVA ERA. 🤍🏆

#realmadrid #Benzema #kaka #cristianoronaldo https://t.co/ITZGgvmLW7","13 años del día en que Cristiano Ronaldo, Karim Benzema Ricardo Kaka debutaron con el Real Madrid. EL COMIENZO DE LA NUEVA ERA. 🤍🏆 ://t.co/ITZGgvmLW7",0.2,0.30000000000000004,positive
123,"@bibiknowsbest HS6DBS6DHWUS TO PASSANSO MAL
PERA O RONALDO TAVA NA SALA?",HS6DBS6DHWUS TO PASSANSO MAL PERA O RONALDO TAVA NA SALA?,0.0,0.0,neutral
124,And they call him a tap in merchant!!! Haters gonna hate but he is the king of goal scoring!!! The G.O.A.T @Cristiano https://t.co/0Yp4mKH8W4,And call tap merchant!!! Haters gonna hate king goal scoring!!! The G.O.A.T https://t.co/0Yp4mKH8W4,-1.0,0.9,negative
125,"@markgoldbridge ❌Sancho €85m who has been trophyless for 2 years

❌Maguire for €80m who has been satisfying them with own goals 

❌  They bought a GOAT Ronaldo and turn him to Batshuayi

❌ now they bought Antony for €100m another Samuel Kalu with the dribbling skills of Percy Tau",❌Sancho €85m trophyless 2 years ❌Maguire €80m satisfying goals ❌ They bought GOAT Ronaldo turn Batshuayi ❌ bought Antony €100m another Samuel Kalu dribbling skills Percy Tau,0.5,1.0,positive
