,Tweets
22,"Gaza gelip kendini gerçekten Ronaldo görmeye başlamış olmalı, İddia doğruysa… https://t.co/jGRdNLFfet"
23,"@silver_mistt @absthegoalie @Cristiano @ManUtd Shut up🥴
He was a player who scored 50+ goals for fun
Now he's scoring nearly 30 which is exceptional for a 37 year old
If he aged like a wine it would have been 50+ again"
24,preferer des DC à Ronaldo... il est passé où ton football romantique Thomas..
25,"Hahahahahahaha😂😂 Is this true @Ateebrafiq is he really pain in the ass for your club, put your love for ronaldo aside and nostalgia?? https://t.co/H4vK4nSGZT"
26,If Chelsea don’t get Auba then I say screw it and just get Ronaldo. A top finisher which we need
27,"🚨 Cristiano Ronaldo à Naples n'est qu'une question de temps 
(@mackolik) https://t.co/DMP7yiGkwn"
28,"@Ronaldo_RCM @pedrocertezas ""se igualou ao lula"" kkkkkkkkkkkkk
realidade: vai apertar 22 na surdina e qualquer coisa vai falar que votou no NOVO"
29,Ronaldo il est au courant que le mercato finit demain?
30,@lobo_carrasco @elchiringuitotv y la chilena mas perfecta del mundo de un tal Cristiano Ronaldo ???
31,@gambabit @Cristiano
32,@Naija_PR G.O.A.T @Cristiano
33,Voy a pegar una siesta de 30 minutos como Cristiano Ronaldo dijo el Santi
34,@JeremieMata4 Et Ronaldo uel
35,He encontrado un cuaderno q utilizaba de pequeño y se ve q odiaba a Cristiano Ronaldo https://t.co/WDdi0ghrUt
36,La figurita de Messi o Ronaldo para completar el reto de la app y te agrego al círculo verde(?
37,@NQ10__ Voilà et un peu ronaldo il mérite plus
38,"@ishowspeedsui fight me. We are both the same age, and same weight. Ksi is having a card in January. Fight me in that you nonce. Don’t duck me. #Messi𓃵 #Ronaldo"
39,Messi &amp; Ronaldo 81 pace in fifa 23 💀
40,E eu que uso o Cristiano Ronaldo como chat para guardar reals interessantes
41,@FBahcelilerr Ali koçu sampiyonluk harici Ronaldo kurtarir
42,As if it’s Boehly you fool. Boehly doesn’t even know the difference between centre back and centre forward. Tuchel wants all these defenders. Tuchel turned his nose up at Ronaldo. Not Boehly. https://t.co/SbPkVWXOj9
43,@nocontextfooty Context: Nunez&gt; Ronaldo
44,mais moi j’avais une pièce dans la bouche de ( 20 centimes) me demandez pas pourquoi je sais même plus pourquoi j’en avais une bref et il passe le reportage de Ronaldo un moment il fait une retournée acrobatique https://t.co/GHT2btKs0Q
45,"@divyans_goat @CJP080901 @ManUnitedZone_ Key passes, vision assists etc. the point is Messi and Ronaldo had very different roles last season though neither were at their best."
46,@DerSaltato Chi crede in Ronaldo al Napoli e crede che sia meglio di un centravanti di 20 anni che già vale 140 milioni infatti sarà nella top 100 su FUT Italia
47,"@ronaldo_mb_dhf Kitti gadu.... 
Laughing  from  Corner https://t.co/OMemOF8Xsb"
48,@The0tim3_ @Cristiano ou Moise Kean
49,"Will Cristiano Ronaldo leave Manchester United before the transfer window shuts? 🤔🔴 https://t.co/i6ideS4br8
@SkySportsPL"
50,"@Coketamina Es que antes 100M costaba Cristiano Ronaldo, Neymar y poco más. Ahora cualquiera eh"
51,"@CRonaldoV2 @10HagRED @TrollFootball Man united fan and a Ronaldo c*cksucker, that's 2 big L's"
52,me salieron 2 messi y no me salio Ronaldo que putas
53,"@NUFC anybody thought about Ronaldo on a loan, he’d be a great asset"
54,"@Ronaldo08943705 Boa Tarde Ronaldo 🥳🥳

Ótima Terça-feira 🙏🙏

SRN 🔴⚫😎👊"
55,Just sell him or terminate Ronaldo at this rate https://t.co/7LYLAu8jTy
56,@FrankKhalidUK @paulpogba @Cristiano The narrative that Ronaldo is the problem is mind boggling
57,"@_Pumza_ That guy is stubborn 😂

He literally has a goal machine in Ronaldo but does not know how to utilize him into the squad 🤦🏾‍♂️🚮"
58,@Arrizabalager Exactly why we need ronaldo and zaha
59,@Randaz1Emmanuel @Ale_RMFC @Cristiano X2
60,"@neobronzati Ele foi decisivo em duas Copas, mas os caras acima jogaram demais também. Jairzinho, Zizinho, Didi, Romário, Ronaldo, Leônidas."
61,@NoNowlegoat @LAW_QLF @Fumzerleretour @wahraniii6 @AchilleBekono @saile_jedusor @_Cristiano9_3 Le match contre Tottenham? les nombreuses fois où il a évité la défaite à Man U tu ne devrais même pas comparer le réal avec Man U arrête avec ta mauvaise foi si tu as réellement regarder les matchs tu saurai que Ronaldo n’y pouvait rien
62,@FutSheriff @EASPORTSFIFA Ronaldo pace to 60
63,@FabrizioRomano @Transferzone00 Ronaldo ?
64,@ChampionsLeague @bayer04_en @Calteck10 Ronaldo is finished
65,"En vrai j’ai capté Pogba il a marabouter Ronaldo pour éteindre sa carrière, je ne vois pas quel autre option #ronaldo #pogba"
66,"@As_saaliha @redamcx1 @redamcx1 Tu viens de liker ceci, puis-je donc te poser une simple question en raisonnant de cette façon, Messi &gt; Ronaldo ?"
67,@trustyfuttrader Ronaldo same pace as van dijk?
68,@UTDgudu @Tomas9716 @Didntknowplayer @FunnyFTMoments Ronaldo ain't trying to play for ur team dude
69,@Ale_RMFC @Cristiano NO al Napoli
70,@MrhandsomeSA @Ghana_Ronaldo
71,"@ismailh55329200 @mrmichaelbarton Ronaldo leaving is not d problem
but who will replace him 
Martial or Rashford
That will be Ten big mistake"
72,Yalancının anasını sikiyim mi Ronaldo sadece soruyorum? https://t.co/cV0kJ3IPbg
73,@Eruma_27 @F4STFATI @ReshadRahman_ @HelenaCondis Insane mid off but Ronaldo better tbh
74,"#NP 📡 Holy Gee - 
@superboycheque

#TheHomerun w. Radio Ronaldo @SheyeBanks 👑📻

https://t.co/qv712uwP68 #RadioStars"
75,"La trattativa per #ronaldo non è ancora tramontata del tutto,quella per #navas rimane in fase di stallo."
76,@Ghana_Ronaldo @MelaninShugar 😉
77,@ayo_olah Let wait and see. Likely RB then striker if Ronaldo leave
78,@E170K @interna47997306 @Eruma_27 @DeadlineDayLive Has 4 goals 2 assists this season already while Ronaldo got 0 goals and assists
79,@honestpendudog2 @MoneyMa43469183 @pessiOUT @bazu191 @SensationalNey @sr4gio_ramos Messi fans think that ronaldo is just a tapin merchant
80,@ArmyArmyYeah1 Clarooooo! Mejor pop del año! Cristiano Ronaldo … ah qué tal?
81,"@ronaldo_mb_dhfm @Rebelismm @Prabhas_Anwar1 https://t.co/gt9UyvYk4X
@ronaldo_mb_dhf"
82,Juju is our Ronaldo of politics never disappoint us the voters of EFF 🤣🤣✊ president big nose https://t.co/vW0vNa7LgZ
83,@Ghana_Ronaldo @_Stevemensa 👀
84,"Pare sfumata la trattativa per portare Cristiano #Ronaldo al #Napoli.
#CR7𓃵 vuole comunque lasciare il #ManchesterUnited, sul tavolo l'opzione #Sporting Lisbona. Ma l'allenatore dei portoghesi, secondo il Times, sarebbe pronto a dimettersi in caso di arrivo di #CristianoRonaldo. https://t.co/toTMTVtWZW"
85,@privkrls @FabrizioRomano Man stop looking at Ronaldo’s girl all day and watch some ball
86,@seokjinah070 Justice for Ronaldo 😩
87,@Ghana_Ronaldo @chiangellia
88,@FrankKhalidUK @biggest_don1 @paulpogba @Cristiano Most deff
89,@CFCPys @Nathan_Gissing Ronaldo is bigger than chelsea
90,"@honestpendudog2 @MoneyMa43469183 @pessiOUT @bazu191 @SensationalNey @sr4gio_ramos Ronaldo has played 936 games on club level and xavi has played 882, not that big of a difference. Again i am not saying that ronaldo is a better playmaker, i was just showing how he has created more chances than one of the greateat midfielder of all time and still most of the..."
91,"@Utd_Kieran @GozoM__ @TenHagEra Next season priority :
1. Ball playing &amp; sweeper Gk
2. Ronaldo's replacement (goalscorer)
3. Cm who can controls the tempo
4. New Rb to compete with dalot
And we're good to go for the next 5 years"
92,@rosianaivy @Ghana_Ronaldo Love y’all
93,"RAI - Venerato: ""Navas, non c'è l'accordo con il PSG, Osimhen resta, sfumato Ronaldo"" https://t.co/voz5SBPXZu"
94,"RAI - Venerato: ""Navas, non c'è l'accordo con il PSG, Osimhen resta, sfumato Ronaldo"" https://t.co/EOnvsIEOn1"
95,"@7olympos @demarkegaming @demarkesports Hayır Ronaldo 88 Messi 84 olmalı en fazla. Ikisi arasında uçurum var şu an. 
Messi'nin oynadığı ligde bende oynarım. Ronaldo dünyanın en iyi liginde oynuyor. Fark var."
96,"@Aydiin6814 @Blue_Footy Ronaldo was, is now, and always will be a better player than auba"
97,"@CRonaldoV2 @TrollFootball Ronaldo can't even dribble against Andorra, lmao"
98,@90laurenquigley Ronaldo should leave.. Casemiro and Antony already has me more excited....
99,@lordmili101_ @Ghana_Ronaldo Followed you
100,"@zeuzeu11 @LouisBaltimore regarde le record de vitesse de tous les temps d""un footballer c'est ronaldo bg"
101,@lauriewhitwell Can I assume based on this that there is no truth at all to the Oshimen/Ronaldo loan swap? Or any variations on this?
102,@Ghana_Ronaldo @lodbrok_floki @OrmenZa  done.
103,@SkySportsNews Thought it was Ronaldo for a minute 😂😂😂😂
104,@realmadriden One last dance with @Cristiano 🙌🏻🙌🏻
105,@kuwaitjnr_ @wizkidayo @TeamMessi Correct guy ❣️ others go dey merge wizzy and Ronaldo together 🤮
106,@Tee_Classiquem1 @ChelseaFC @jahy_official you and this lady suppose be friends…I think say na only you hate Chelsea ..this lady fvcking from the pit of hell dislike Chelsea 😂😂😂😂😂😂😂😂😂koda make Chelsea buy mess Ronaldo lewandoski koda ko kan 😂😂😂😂 oya WEREY gan when it comes to Chelsea
107,"@realvarriale Hai ragione, figurati se Ronaldo può ridursi a questi livelli"
108,Ronaldo must stay bro https://t.co/KkzPIRFE9Y
109,@ElliotLane11 @_joshuahemmings @Official_BRFC Cavani wore 7 the same season Ronaldo did
110,@FrankKhalidUK @paulpogba @Cristiano https://t.co/jr3uCGimNX
111,@Serpico_Utd @piersmorgan his idol is literally Ronaldo
112,@TinerciLupinn Ronaldo 80 bile etmez
113,"@MRed78 Can’t argue with this guy being a fraud.

But do you honestly believe Ronaldo came in and made these players perform to a lower level? These players did that all on there own, Ronaldo didn’t make them do anything. 

Are we ever going to hold these players accountable?"
114,@Ghana_Ronaldo @Abenapearl_ @Adaekwulobiaa
115,@TinerciLupinn manuda sadece ronaldo var amkkkkkkkkkk gerisi o evladı
116,@Lorena_Alves69 Humberto e Ronaldo sô
117,"@YesterdaysStars He was fantastic. I loved watching him with McClair or Cantona. I'd put him in my top 3 or 4 for United in the past 40 years. Way ahead of Rooney or Ronaldo. I know most wouldn't but there you go. Robson, too."
118,@kwapKing_eddy @CBSSportsGolazo @JacobsBen Ronaldo ain't goin nowhere 😂 📍
119,@ronaldo_mb_dhf Continuous batting
120,@Ronaldo_aff Sério? É algo tão esquecido que eu nem lembrava que ele usou tantas vezes.
121,"@ManUtd @DalotDiogo Now, Its time to bring back the lost glory of Old Trafford.We have better coach, better team and Ronaldo
I would ll suggest to play Ronaldo as a main striker in every game With a kind of RW and LW combination of Sancho and Antony,And Bruno in Centre,team will get fruitful result https://t.co/mT3claYoFC"
122,"13 años del día en que Cristiano Ronaldo, Karim Benzema y Ricardo Kaka debutaron con el Real Madrid.

EL COMIENZO DE LA NUEVA ERA. 🤍🏆

#realmadrid #Benzema #kaka #cristianoronaldo https://t.co/ITZGgvmLW7"
123,"@bibiknowsbest HS6DBS6DHWUS TO PASSANSO MAL
PERA O RONALDO TAVA NA SALA?"
124,And they call him a tap in merchant!!! Haters gonna hate but he is the king of goal scoring!!! The G.O.A.T @Cristiano https://t.co/0Yp4mKH8W4
125,"@markgoldbridge ❌Sancho €85m who has been trophyless for 2 years

❌Maguire for €80m who has been satisfying them with own goals 

❌  They bought a GOAT Ronaldo and turn him to Batshuayi

❌ now they bought Antony for €100m another Samuel Kalu with the dribbling skills of Percy Tau"
126,"2022 – Transfernachrichten LIVE: Cristiano Ronaldo nähert sich der Napoli-Ausleihe, Liverpool stimmt dem Bellingham-Deal mündlich zu https://t.co/3RxOs2Ifdn"
127,@Ghana_Ronaldo @Mayanja_G Active 💃💃
128,"Lou, la quinta temporada de Cobra Kai y Ronaldo son solo algunas de las obras que llegarán a la plataforma en septiembre.

https://t.co/cnSQqkMGJy"
129,"Magnus Carlsen picks his side in Messi vs Ronaldo debate and reveals a shocking story!
https://t.co/pFoWqaqK57"
130,La valoración de Cristiano Ronaldo y Lionel Messi baja en el FIFA 23 https://t.co/mZ7qJ0M9aJ https://t.co/wXSpFEEUcr
131,"si è visto che step avanti ha fatto Ronaldo nella sua carriera scegliendo la vostra cloaca di squadra, da quel momento in poi è diventato completamente irrilevante. Tornatene nella tua fogna, ratto. https://t.co/zZuYjisuwG"
132,@ronaldo_mb_dhf 😂😭😏
133,"@Juani96082234 @Pedropicota2 @ElInmortal____ No expliques lo mismo 10 veces. El que diga q Ronaldo es mejor que Messi. Es obvio que no tiene idea de fútbol o funcionamiento dentro la cancha. 

Tiene una manera de ver el futbol con la bufanda del Madrid y el marketing que este genera... Ah y los ""números""

Ya esta"
134,@Ghana_Ronaldo @arney_ajoa @nakabugo_benita
135,@Prabhas_Anwar1 Ippudu @ronaldo_mb_dhf  mb fans bayapadi edho tweet delete cheyistaru emo. Anwar nuvvu taggaku 🤙mawa. Anwar Anwar Bhai nee yavva #Thaggedhele 🤙💥💥
136,@ononterim Ronaldo da gelse messi de gelse kimin yerine oynayacak 3 yerli kuralı var bu ülkede 🤔🤔🤔
137,"Cristiano Ronaldo se quedará en el Manchester United!! No irá ni al Chelsea ni al Napoli..simplemente no lo dejaron salir porque aún les sigue generando dinero y publicidad  su imagen. Ten Hag no cuenta con el y tocará verlo suplente muchos juegos!!
Día triste. #CristianoRonaldo https://t.co/LPY3pVB4vD"
138,@bg_str @slym_s @realfg_general @mrmacaronii Messi and Ronaldo is  incomparable they are both greatest so I won't continue to argue with you guys  I don't want to be among people that did because its a blind argument its only a fool would say one is better than the other.
139,"@one_deji Chai😂😂, He should just sign Ronaldo zi nau"
140,@ronaldo_mb_dhf Pk trendsetter 🔥🥵
141,charles eligiendo a ronaldo huele a rancio https://t.co/IRu5UiexDH
142,Moi je dit Ronaldo et Marcelo sont bien trop à l’aise pour des personnes sans club à 48h de la fin #MercatOM #RonaldOM #VenteOM
143,Mon prof m'as demendé c'était qui les conquéreur d'europe j'ai répondu messi et ronaldo 🇦🇷🇵🇹 https://t.co/CB2RXO7AZo
144,"Napoli boss makes Osimhen to Utd transfer claim amid Ronaldo reports d Nigerian has mentioned as an option for Utd with Ronaldo going the other way NO COMMENTS FROM ME 🙏🏻Goodnight All♥️
 #MUFC #Twitter @MullissTony
@geraintfrazer20 @1957eddie
@Redsince66
https://t.co/gMdyEoBFsO"
145,@AchilleBekono @LAW_QLF @Fumzerleretour @wahraniii6 @SoouullX @saile_jedusor @_Cristiano9_3 Je retire pas le fait Ronaldo est le plus grand joueur du Monde avec Leo Messi mais ACTUELLEMENT Benzema est bcp plus important dans son équipe que CR7 a United
146,Yes oky becose CR 7 and Mao the best but Cristiano Ronaldo the legenda and Jos Murinho the sepecial one.god luck . https://t.co/rILxFjXoGQ
147,@BCFC Where’s Cristiano Ronaldo?!
148,รักพี่มากๆเลยนะ❤️🙏🏻 @Cristiano
149,@FPL_Salah Ronaldo are u kidding? He's not even starter
150,"Jordan Pickford talks about stopping Ronaldo, playing with Rooney and friendship with Maguire on Simply The Best 🌟

https://t.co/IdQ3TrylrC"
151,Wtf Ronaldo https://t.co/O9sadmIfUi
152,"@kuwaitjnr_ @wizkidayo @TeamMessi Never put Messi and wizkid together 
It’s Ronaldo and wizkid 
Messi can be with Davido or sumn"
153,@Ghana_Ronaldo IFB
154,"Per me il tifo muore quando vedo “tifosi del Napoli” preferire un bilancio a posto invece che Ronaldo.

La psicosi del fallimento non vi passa più"
155,"@soheildil @BGauGau gauthier : ronaldo est meilleur que messi il a prouve partout !

gauthier : rooney meilleur que henry"
156,L’entraineur du Sporting est prêt à tout pour empêcher l’arrivée de Cristiano Ronaldo https://t.co/NHDYHi0TA0
157,@Ale_RMFC @Cristiano Está terminado. El Chelsea quiere a Auba. El Bayern planea comprar a Harry Kane el próximo año. Napoli no puede pagar su salario.
158,@Ghana_Ronaldo @nimo2822
159,@ronaldo_mb_dhf 🤣🤣🤣
160,@Ghana_Ronaldo 🟡
161,@Ghana_Ronaldo @arney_ajoa @BelieveCode
162,@numbr_uno Ronaldo wouldn’t ruin any team bro. A year ago we were excited to have him now he belongs in the trash?💀 cmon now
163,@Ghana_Ronaldo @attrakta IFB
164,@Ghana_Ronaldo @BamalliPital
165,@Ghana_Ronaldo @attrakta IFB asap
166,"🚨OFICIAL🚨
Manchester United contrata al brasileño Antony, procedente del Ajax, por 100 millones de euros. Firmó hasta el 2027 con opción de un año más. ¿Será que ya anticipan la salida de Ronaldo? ¿O es para buscar su permanencia?

#Ronaldo #Antony #ManchesterUnited #Furianeta https://t.co/oXvH1b60bN"
167,@nocontextfooty Average Ronaldo fan ball knowledge tbh
168,"@TimelineCR7 Ronaldonkeys are insane, they worship everything from Ronaldo, even his boogers.

All I see from Ronaldo is nothing special, he is just an upgrade version of Inzaghi, with selfish dictating demands."
169,@T20Mark @FabrizioRomano A don’t get why we don’t go for ronaldo? He would be the perfect striker for the way we play
170,@BoehlysBastards @FabrizioRomano Ronaldo rejected you dfkm 😭😂
171,Cristiano ronaldo se ha empeñao en que le crezca las cosas https://t.co/AGk6S5dMLi
172,@ronaldo_mb_dhf 🤣🤣🤣
173,@Roar__45 @ReddyPata @uday462 @ronaldo_mb_dhf https://t.co/Ai7vpTSMNp https://t.co/MRmUd1LtqP
174,Can Napoli just get navas deal done!Ronaldo is a farfetched deal
175,"€100m, as with pretty much all our shopping in the last few years is an overpay. But if this talk of a Ronaldo-Osimhen loan swap is real, with United paying both their wages and an obligation to buy next summer, it'd be the first tiny bit of ingenuity I've seen this summer."
176,"@ChrisBils @SeanSteffen Maybe not GAR but something like Goals Above Average, GAA. I’d be curious what lifetime stats for someone like Messi or Ronaldo looks like. I’d expect that they would have very high G-xG, as they are way better than a random average shot from a certain position 6/"
177,@johaniMD @Cristiano Totally agree with you😍 https://t.co/tv2x6drkTz
178,@Ronaldo @ViniciusLord pelo visto que o @cruzeiro jogara depois do jogo contra o Operário somente dia 17/09. Porque não trocar o jogo de quinta às 21:30 pela sexta 20 hrs ou mesmo 21:30. Outro jogo para lotar o @Mineirao #Cruzeiro @socio5estrelas
179,@Ghana_Ronaldo @rinku_nangal1
180,@UnitedStandMUFC @DiscoMirror Except Ronaldo decided to leave
181,@Ale_RMFC @Cristiano Llegó el momento @FCBayern @cristiano https://t.co/TM1fgAxtLa
182,@FUT23News Ronaldo atleast 84-85
183,@ronaldo_mb_dhf Rey🤣🤣🤣
184,@veerlasrinivasa @ronaldo_mb_dhf @urstrulyMahesh Lechindi ah ekkada fulls lo na ?
185,@RealGOA7 Ronaldo fans says messi was carried by Xavi and iniesta and Ronaldo wasn't but they also claim Modric and Kroos are better than Xavi and Iniesta... Talk about double standards 🤣
186,"@Guy2359 @skworldfootball I doubt that. Ronaldo is just looking out for himself. He is been selfish. Nothing wrong with been selfish, he is human after all"
187,@ronaldo_mb_dhf @thalabheem333 Dei 🤣🤣🤣
188,@diogomlbernardo Não me parece mau planeamento. Parecem escolhas. Eu adoro o Amorim e espero que fique muitos anos no Sporting mas isto são escolhas dele. É ele q não quer mais um PL e tb é ele q quer este rapaz. E parece q seria ele q se fosse possível nao quereria o Ronaldo . Não se entende
189,@CuriosidadesPRL Será mesmo que o Ronaldo vai ficar sem jogar Champions?
190,@no_cap04 @Torrescroc @Capssss12 @anesMMA3375 @Fcbayer17 @JumanjiFCB @MarshallFCB Encore heureux que je suce Ronaldo https://t.co/axtseFHBhk
191,"Cristiano Ronaldo highest-rated player - Man United's FIFA 23 ratings leaked online.

https://t.co/piUajqrKFT 

#MUFC #FIFA23RATINGS https://t.co/hr84KbXEXc"
192,All that defence just so Havertz can keep leading the line. Pls buy Ronaldo
193,"#Cristiano is smart in deciding to go public only after deadline day. If he gets a move out of #ManUtd, he will bad mouth some people there. If he stays, he will praise #ManchesterUnited and say the #media is just creating stories. 
#Ronaldo #transfer #smart"
194,@Ghana_Ronaldo @OwaSande
195,@Ghana_Ronaldo @itsnrman gain time😈😎
196,Manchester united need ronaldo https://t.co/oGMbLajaPY
197,@ronaldo_mb_dhf 69 seconds silence for that bike 🥲
198,@FansdeFUT ptdrrrr les stats de ronaldo la carte est sensée avoir 85 de gen je suis mort
199,"@angelrabadan50 Por eso mismo. Que nosotros no fuimos campeones de Europa el año que se juntaron Ronaldo, Vangol, y Raúl."
200,@Ronaldo_aff Eu disse
201,"🚨última hora, el Sevilla fc pregunta por Cristiano Ronaldo"
202,@Ghana_Ronaldo @OwoAyodeji
203,Call Ronaldo 😭 https://t.co/rlkzv6WEE4
204,@JessiSilva__ Ronaldo es bueno pero no se puede sentar aún a cenar en la mesa de Messi
205,Ronaldo daha olası https://t.co/rJMX09JoaK
206,@ActuFoot_ @AbdellahBoulma Idrissa Gueye meilleur que Ronaldo sans discuter
207,"@Ghana_Ronaldo @your_baby015  ifb💯

                 @your_baby015 
                 
       @your_baby015"
208,"Jordan Pickford talks about stopping Ronaldo, playing with Rooney and friendship with Maguire on Simply The Best 🌟

https://t.co/rXvs1rp5AM"
209,Pour voir le GOAT RONALDO fait une stat pareille va falloir qu’il ne soit pas titulaire avec le club qu’il joue durant toute la saison. Mais celui l’a fait en tant que titulaire on dit qu’il est aussi goat 😂 https://t.co/e8A5qpAWBj
210,Like they say about messi and ronaldo “enjoy him while you still can” 😂😂😂 absolute class act 👌🏻 https://t.co/IGQjBhHems
211,@Ghana_Ronaldo @syl_vestus
212,@ronaldo_mb_dhf Russia madam  miss ayyindhi
213,@Ghana_Ronaldo @DipakBeck
214,@LAW_QLF @Fumzerleretour @wahraniii6 @AchilleBekono @SoouullX @saile_jedusor @_Cristiano9_3 Dans aucun Match Ronaldo à été réellement important comme Benzema l’a été avec le real la preuve face aux grandes équipes Ronaldo était plus la tu prends n’importe quelle bon joueur la saison dernière à la place de CR7 il finissait avec les mêmes stats
215,@Ghana_Ronaldo @genuine_gal @Shettimah_Alfoh
216,@ActuFoot_ @AbdellahBoulma Juste pour vous dire que j'ai autant de buts que Ronaldo cette saison
217,@louis_iyoha @zian_777 @GarriAndBeans @BrasilEdition lol follow Ronaldo when he leaves you’re clearly not a Manchester utd fan but a Ronaldo fanboy
218,"@Ale_RMFC @Cristiano AL BAYERN POR DIOS

AL BAYERN!!!!!!"
219,@Ghana_Ronaldo @Mayback77
220,@Ghana_Ronaldo @SwiftSultan1 @Mabalathefarmer
221,https://t.co/vnpNLNukyf Transfer news LIVE: Man United confirm €100m Antony deal as Cristiano Ronaldo target… https://t.co/oCBomP1h7t #Football https://t.co/O50TJIo3EO
222,"@ChronicleNUFC just a thought guys but Ronaldo wants out of Manchester, why don’t Newcastle get him on loan ? He’s not lost that drive or determination to score he’d be a steal"
223,@Ghana_Ronaldo @Zo_z_7
224,Ronaldo played 196 games as a midfielder for Manchester United scoring 84 goals and assisted 45 times.
225,"🔴 #FIFA23 se habilitó temporalmente en Xbox

Durante los últimos días varios jugadores pudieron acceder a la versión completa del juego cuando se actualizó por error. 

Los usuarios filtraron los puntajes de varios jugadores y la  noticia es que nerfearon a Cristiano Ronaldo. https://t.co/Cy3fX3GeFe"
226,@Sporting_CPAdep @RudyGaletti Eu acho muito mau o que estao a fazer ao @Cristiano é  so notícias atiradas ao ar... os sportinguistas deviam ter 2 dedos de testa  e perceberem que nao temos capacidade de ter um jogador como Cristiano  no sporting
227,"@Charlie90833015 @StretfordPaddck Ronaldo is leaving. the rest are mediocre.
Just like Maguire and Shaw now sit on the bench permanently, so should the rest of the names you mentioned."
228,@ronaldo_mb_dhf 🤣🤣🤣
229,"@Ghana_Ronaldo @NaziyaNazeer3
@dipty_rahman14"
230,@MateoLP88 Ronaldo mejor por siempre
231,@ronaldo_mb_dhf @thalabheem333 Brooo 🤣🤣🤣🤣
232,@Ghana_Ronaldo Connect with @ChukwuemekaIj
233,We need ronaldo https://t.co/5MzcNsbFuk
234,@Ghana_Ronaldo 📌
235,@Ghana_Ronaldo @real_honore_
236,@Ghana_Ronaldo @rosianaivy ❤️❤️❤️
237,"Hell yes he can... @piersmorgan 
Visited @Cristiano  his Museum only a week ago ... !

He has earned the right

G.O.A.T https://t.co/XqFjwujqRD https://t.co/ZRDckPJZ50"
238,@ActuFoot_ @AbdellahBoulma Il est bien meilleur que Ronaldo
239,@ronaldo_mb_dhf 🤣
